,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cherskiy,69,RU,1558564004,78,68.75,161.3,33.89,8.97
1,Iqaluit,75,CA,1558564005,86,63.75,-68.52,37.4,19.46
2,Busselton,90,AU,1558564006,70,-33.64,115.35,48.0,13.94
3,Albany,75,US,1558563745,30,42.65,-73.75,71.01,4.7
4,Tocopilla,0,CL,1558563948,85,-22.09,-70.2,63.59,19.86
5,Mataura,1,NZ,1558564010,82,-46.19,168.86,53.01,5.82
6,Puerto Narino,40,CO,1558564011,70,-3.77,-70.38,86.0,3.36
7,Ushuaia,90,AR,1558564012,93,-54.81,-68.31,35.6,18.34
8,Vanimo,95,PG,1558564014,79,-2.67,141.3,80.33,6.15
9,Saint-Georges,44,CA,1558564015,43,46.12,-70.67,64.99,4.14
10,Meulaboh,98,ID,1558564016,86,4.14,96.13,80.33,10.38
11,Bluff,0,AU,1558564018,81,-23.58,149.07,58.91,9.66
12,Upernavik,0,GL,1558564019,82,72.79,-56.15,33.89,5.14
13,Cardenas,5,MX,1558564020,23,27.62,-110.24,87.8,16.11
14,Kurumkan,2,RU,1558564021,79,54.33,110.32,34.61,4.41
15,Taywarah,2,AF,1558564023,52,33.35,64.42,57.65,2.55
16,Sorland,20,NO,1558564024,75,67.67,12.69,44.6,21.92
17,Hithadhoo,100,MV,1558564025,75,-0.6,73.08,83.39,13.49
18,Isangel,40,VU,1558564027,73,-19.55,169.27,77.0,11.41
19,Punta Arenas,90,CL,1558563892,93,-53.16,-70.91,46.4,3.36
20,Hobart,75,AU,1558563982,62,-42.88,147.33,55.0,8.05
21,Hilo,20,US,1558564030,48,19.71,-155.08,84.2,13.87
22,Avarua,100,CK,1558563833,88,-21.21,-159.78,75.2,6.93
23,Cayenne,90,GF,1558564033,94,4.94,-52.33,75.2,1.12
24,New Norfolk,75,AU,1558564034,62,-42.78,147.06,55.0,8.05
25,Sambava,62,MG,1558564035,98,-14.27,50.17,68.45,2.75
26,Richards Bay,0,ZA,1558564036,76,-28.77,32.06,71.87,19.66
27,Rikitea,15,PF,1558564038,73,-23.12,-134.97,75.47,10.92
28,Kapaa,20,US,1558564039,66,22.08,-159.32,84.2,9.17
29,Bredasdorp,84,ZA,1558564040,87,-34.53,20.04,55.4,2.24
30,East London,0,ZA,1558564041,74,-33.02,27.91,53.87,3.8
31,Lloydminster,75,CA,1558564042,22,53.28,-110.01,69.8,4.7
32,Ahipara,100,NZ,1558564044,100,-35.17,173.16,62.01,7.9
33,Carnarvon,0,ZA,1558564045,24,-30.97,22.13,50.99,2.55
34,Leningradskiy,100,RU,1558563675,86,69.38,178.42,27.95,2.71
35,Nome,90,US,1558564047,74,30.04,-94.42,86.0,13.87
